X,STATE,cases,deaths,REGION,DIVISION,POPULATION,LAND AREA,DENSITY,PropAGE1,PropAGE2,PropAGE3,PropAGE4,PerCap Income 2019,CrudeMortRate,Percent Uninsured,HospCount,BedsPer1000,GOVERNOR PARTY,GOVSTART,GOVEND,GOVTERM LIMIT,Date of First Case,Stay At Home Date,Days Between,SAH7DY,SAH14DY,SAH21DY,SAH28DY,SAH35DY,SAH42DY,SAH49DY,SAH56DY,SAH63DY,SAH70DY,Stay At Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,School Closures,Bar/Restaurant Limits,SMI_before,SMI_after,SMI_reduction,num_users,num_records
11,Hawaii,502,9,4,9,1431603,6423,222.9,0.248695693,0.27046808,0.276940177,0.203896049,57450,763.9,4.1,28,1.9,Democrat,2014,2022,Yes,3/6/20,3/25/20,19,0,0,1,1,1,1,1,1,1,1,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,112.7080972,70.14033804,0.377681464,22008,1601695
12,Idaho,1453,33,4,8,1654930,82747,20,0.303193709,0.264113137,0.255360166,0.177332988,45642,794.1,11.1,55,1.9,Republican,2019,2023,No,3/13/20,3/25/20,12,0,1,1,1,1,1,1,1,1,1,Statewide,No Requirement,All Non-Essential Businesses,All Gatherings Prohibited,Effectively Closed,Closed except for takeout/delivery,53.6088446,34.07493331,0.364378517,9808,898792
13,Illinois,22025,800,2,3,12859995,55584,231.4,0.272513622,0.273619491,0.276584739,0.177282148,58935,836,7,218,2.5,Democrat,2019,2023,No,1/24/20,3/21/20,57,0,0,0,0,0,0,0,0,1,1,Statewide,No Requirement,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,41.94819495,18.96533134,0.547886831,125461,12949847
14,Indiana,8236,350,2,3,6619680,35867,184.6,0.278630038,0.261633838,0.275934089,0.183802035,48657,956.9,8.3,180,2.7,Republican,2017,2021,No,3/6/20,3/24/20,18,0,0,1,1,1,1,1,1,1,1,Statewide,No Requirement,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,34.69080043,19.30421065,0.443535162,65978,6193418
15,Iowa,1710,44,2,4,3123899,55869,55.9,0.269341557,0.253772459,0.272955384,0.203930599,52636,942.3,4.7,134,3,Republican,2017,2023,No,3/8/20,NA,NA,0,0,0,0,0,0,0,0,0,0,Not Statewide,No Requirement,Not All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,38.23193134,24.49255417,0.359369163,28029,2289918
16,Kansas,1383,63,2,4,2911641,81815,35.6,0.284125648,0.264469258,0.267448104,0.18395699,53453,902.7,8.8,163,3.3,Democrat,2019,2023,No,3/7/20,3/30/20,23,0,0,0,1,1,1,1,1,1,1,Statewide,From Certain States,All Non-Essential Businesses,>10 People Prohibited,Yes,Limited On-site Service,50.43934257,23.67110667,0.530701523,30243,2428757
17,Kentucky,2048,106,3,6,4425092,39728,111.4,0.26414083,0.263078693,0.281694312,0.191086165,44017,1077.9,5.6,127,3.2,Democrat,2019,2023,No,3/6/20,3/26/20,20,0,0,1,1,1,1,1,1,1,1,Statewide,All Travelers,All Non-Essential Retail Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,33.98944052,16.48243359,0.515071936,40225,3836294
18,Louisiana,21016,884,3,7,4670724,43562,107.2,0.276667567,0.274237587,0.272437823,0.176657023,48008,946.4,8,237,3.3,Democrat,2016,2024,Yes,3/9/20,3/23/20,14,0,1,1,1,1,1,1,1,1,1,Statewide,No Requirement,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,36.53191256,21.6489255,0.407396876,57381,9952484
19,Maine,698,19,1,1,1329328,30862,43.1,0.234092238,0.228985193,0.310523269,0.2263993,50950,1065.1,8,42,2.5,Democrat,2019,2023,No,3/12/20,4/2/20,21,0,0,1,1,1,1,1,1,1,1,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,46.41966941,27.19257311,0.414201491,7685,806758
20,Maryland,8936,262,3,5,6006401,9774,614.5,0.262685085,0.265546928,0.294161376,0.17760661,65683,811.5,6,69,1.9,Republican,2015,2023,Yes,3/5/20,3/30/20,25,0,0,0,1,1,1,1,1,1,1,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,34.93500418,14.80886959,0.576102252,65735,8901229
21,Massachusetts,26867,844,1,1,6794422,7840,866.6,0.247592373,0.265592934,0.292351781,0.194462912,74967,836.2,2.8,134,2.3,Republican,2015,2023,No,2/1/20,3/24/20,52,0,0,0,0,0,0,0,1,1,1,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,43.50337441,18.58906313,0.572698362,71070,7336469
22,Michigan,25487,1601,2,3,9922576,56804,174.7,0.26800703,0.247450737,0.289235545,0.195306689,50320,969.3,5.4,175,2.5,Democrat,2019,2023,No,3/10/20,3/24/20,14,0,1,1,1,1,1,1,1,1,1,Statewide,No Requirement,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,42.7889867,22.11688073,0.483117446,80068,8263503
23,Minnesota,1650,70,2,4,5489594,79610,69,0.269839977,0.263847434,0.284768544,0.181544045,59683,780.4,4.4,138,2.5,Democrat,2019,2023,No,3/6/20,3/27/20,21,0,0,1,1,1,1,1,1,1,1,Statewide,No Requirement,NA,NA,Yes,Closed except for takeout/delivery,47.75083388,23.23138557,0.513487332,44258,4006315
24,Mississippi,2942,98,3,6,2992333,46907,63.8,0.286285802,0.264724091,0.266614363,0.182375745,39368,1062,12.1,116,4,Republican,2020,2024,No,3/11/20,4/3/20,23,0,0,0,1,1,1,1,1,1,1,Statewide,No Requirement,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,39.62608361,25.59180191,0.354167771,23781,3281451
25,Missouri,4388,137,2,4,6083672,68886,88.3,0.267395311,0.259950739,0.277028423,0.195625527,49589,982.7,9.4,167,3.1,Republican,2018,2021,No,3/7/20,4/6/20,30,0,0,0,0,1,1,1,1,1,1,Statewide,No Requirement,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,39.8895001,20.48646351,0.486419648,52260,5048957
26,Montana,394,7,4,8,1032949,145552,7.1,0.253721644,0.248204242,0.286145854,0.211928261,49074,950.1,8.2,68,3.3,Democrat,2013,2021,Yes,3/13/20,3/28/20,15,0,0,1,1,1,1,1,1,1,1,Statewide,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,52.46211128,32.23317548,0.38559134,5384,459599
27,Nebraska,871,19,2,4,1896190,76872,24.7,0.280600392,0.265455903,0.266592602,0.187351103,54871,850.3,8.3,106,3.6,Republican,2015,2023,Yes,2/17/20,NA,NA,0,0,0,0,0,0,0,0,0,0,Not Statewide,No Requirement,NA,>10 People Prohibited,Yes,Closed except for takeout/delivery,40.66239287,21.25522312,0.477275644,20157,1467805
28,Nevada,3036,114,4,8,2890845,109826,26.3,0.272658432,0.280108393,0.271238351,0.175994825,50883,813,11.2,71,2.1,Democrat,2019,2023,No,3/5/20,4/1/20,27,0,0,0,1,1,1,1,1,1,1,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,62.71592367,34.32938773,0.45262087,50143,5486689
29,New Hampshire,1020,23,1,1,1330608,8968,148.4,0.247481523,0.236366951,0.31848504,0.197666487,63880,914.2,5.7,35,2.1,Republican,2017,2021,No,3/2/20,3/27/20,25,0,0,0,1,1,1,1,1,1,1,Statewide,No Requirement,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,41.96737998,21.66341135,0.483803579,8978,861932
